name,duplicated,triplicates
Dan Anderson,True,False
Bill Bradley,True,False
Dee Brown,True,False
Roger Brown,True,False
Mark Davis,True,False
Mike Davis,True,False
Larry Drew,True,False
Bob Duffy,True,False
Mike Dunleavy,True,False
Patrick Ewing,True,False
Matt Guokas,True,False
Cedric Henderson,True,False
Gerald Henderson,True,False
Jaren Jackson,True,False
Luke Jackson,True,False
Tony Jackson,True,False
Mike James,True,False
Chris Johnson,True,False
Eddie Johnson,True,False
George Johnson,True,False
Ken Johnson,True,False
Larry Johnson,True,False
Bobby Jones,True,False
Charles Jones,True,False
Mark Jones,True,False
George King,True,False
David Lee,True,False
Freddie Lewis,True,False
Tony Mitchell,True,False
Larry Nance,True,False
Jim Paxson,True,False
Gary Payton,True,False
Kevin Porter,True,False
Glen Rice,True,False
Glenn Robinson,True,False
Walker Russell,True,False
Charles Smith,True,False
Chris Smith,True,False
Don Smith,True,False
Greg Smith,True,False
Michael Smith,True,False
Sam Smith,True,False
Gary Trent,True,False
Jack Turner,True,False
David Vaughn,True,False
Marcus Williams,True,False
Reggie Williams,True,False
Sam Williams,True,False
Bobby Wilson,True,False
Chris Wright,True,False
