,index,date,season,team1,team2,score1,score2,team1_elo,team2_elo
0,32134,1990-06-03,1990,DET,CHI,93.0,74.0,2348.528137423857,651.471862576143
1,32135,1990-06-05,1990,DET,POR,105.0,99.0,2348.528137423857,1500.0
2,32136,1990-06-07,1990,DET,POR,105.0,106.0,2331.884332324176,1532.3616852882096
3,32137,1990-06-10,1990,POR,DET,106.0,121.0,1528.812864639053,2333.7547340418373
4,32138,1990-06-12,1990,POR,DET,109.0,112.0,1525.2803178518327,2335.605488953861
5,32139,1990-06-14,1990,POR,DET,90.0,92.0,1521.7637174537851,2337.436923012581
6,32140,1990-11-02,1991,DEN,GSW,158.0,162.0,1480.940931943354,1519.059068056646
7,32141,1990-11-02,1991,DET,MIL,115.0,104.0,2337.225648201608,1500.0
8,32142,1990-11-02,1991,IND,NJN,100.0,81.0,1512.707826396166,1487.292173603834
9,32143,1990-11-02,1991,LAC,SAC,90.0,80.0,1512.707826396166,1487.292173603834
10,32144,1990-11-02,1991,ATL,ORL,115.0,111.0,1512.707826396166,1487.292173603834
11,32145,1990-11-02,1991,MIN,DAL,98.0,85.0,1512.707826396166,1487.292173603834
12,32146,1990-11-02,1991,POR,HOU,90.0,89.0,1533.4554551218405,1488.2870932890016
13,32147,1990-11-02,1991,UTA,PHO,96.0,119.0,1480.940931943354,1519.059068056646
14,32148,1990-11-02,1991,MIA,WSB,119.0,95.0,1512.707826396166,1487.292173603834
15,32149,1990-11-02,1991,BOS,CLE,125.0,101.0,1512.707826396166,1487.292173603834
16,32150,1990-11-02,1991,CHH,NYK,130.0,134.0,1480.940931943354,1519.059068056646
17,32151,1990-11-02,1991,CHI,PHI,116.0,124.0,640.6044201690975,1503.3966663615824
18,32152,1990-11-03,1991,WSB,CHI,103.0,102.0,1487.322581764527,640.6044201690975
19,32153,1990-11-03,1991,ATL,IND,121.0,120.0,1526.8736378031288,1501.4561566930126
20,32154,1990-11-03,1991,DAL,DEN,140.0,110.0,1501.1646308235515,1470.0056691926138
21,32155,1990-11-03,1991,DET,CLE,106.0,97.0,2333.914617918811,1487.1480998001891
22,32156,1990-11-03,1991,MIL,MIN,111.0,93.0,1514.6117565661368,1500.70168291353
23,32157,1990-11-03,1991,NYK,BOS,103.0,106.0,1500.8966038750095,1533.2575296827629
24,32158,1990-11-03,1991,ORL,CHH,97.0,104.0,1469.1360808572038,1501.4905849669328
25,32159,1990-11-03,1991,PHI,NJN,112.0,110.0,1516.4259126432846,1476.4317794267777
26,32160,1990-11-03,1991,PHO,UTA,101.0,102.0,1499.1717314576097,1502.7710323100268
27,32161,1990-11-03,1991,SAC,POR,93.0,95.0,1471.2733625879919,1551.1588745773374
28,32162,1990-11-03,1991,SAS,LAL,110.0,99.0,1512.0025180429816,1486.5868652506497
29,32163,1990-11-03,1991,SEA,HOU,118.0,106.0,1511.4247102208537,1477.0039290429688
30,32164,1990-11-04,1991,LAC,GSW,109.0,107.0,1524.892569432795,1505.2135079881887
31,32165,1990-11-06,1991,ORL,CLE,95.0,102.0,1450.629794760158,1504.8453584158244
32,32166,1990-11-06,1991,SAC,ATL,85.0,102.0,1454.7155813138788,1542.6967765242582
33,32167,1990-11-06,1991,SEA,DET,100.0,92.0,1540.3569292083203,2315.537003556368
34,32168,1990-11-06,1991,HOU,DEN,145.0,135.0,1489.0306734726375,1456.6771201699125
35,32169,1990-11-06,1991,CHH,NJN,113.0,105.0,1512.7476535121561,1464.3444990640787
36,32170,1990-11-06,1991,CHI,BOS,108.0,110.0,627.670788257767,1536.5584273386123
37,32171,1990-11-06,1991,GSW,LAC,130.0,109.0,1518.8962401596589,1511.5737222302928
38,32172,1990-11-06,1991,IND,MIN,98.0,96.0,1513.4832484683743,1487.5372777368736
39,32173,1990-11-06,1991,LAL,POR,123.0,125.0,1470.3002832461939,1567.7584577225002
40,32174,1990-11-06,1991,MIA,MIL,94.0,106.0,1493.0775118223514,1533.2145907285753
41,32175,1990-11-06,1991,NYK,DAL,91.0,96.0,1481.4491347409773,1519.6509284426982
42,32176,1990-11-07,1991,PHO,GSW,126.0,119.0,1512.60211170837,1506.7963806264588
43,32177,1990-11-07,1991,SAS,DEN,161.0,153.0,1522.1891302490385,1448.160500926457
44,32178,1990-11-07,1991,CLE,CHH,100.0,89.0,1519.3734971820863,1501.0434971521372
45,32179,1990-11-07,1991,LAC,DET,83.0,110.0,1509.3567172779906,2314.3688545960713
46,32180,1990-11-07,1991,MIN,CHI,91.0,96.0,1454.7280731812546,647.6935867908155
47,32181,1990-11-07,1991,PHI,DAL,101.0,104.0,1497.3894804519123,1540.126161984385
48,32182,1990-11-08,1991,NYK,WSB,114.0,103.0,1493.799470677272,1472.9982889607456
49,32183,1990-11-08,1991,HOU,ORL,103.0,99.0,1499.505073013794,1438.1448493711546
50,32184,1990-11-08,1991,MIL,PHI,141.0,111.0,1544.3870818449616,1487.8697759345087
51,32185,1990-11-08,1991,UTA,SAS,103.0,94.0,1515.9192977715634,1510.1719485506385
52,32186,1990-11-08,1991,NJN,MIA,114.0,103.0,1477.5948490284388,1478.5436196247354
53,32187,1990-11-09,1991,IND,CLE,122.0,107.0,1526.2471075118726,1506.4467415782383
54,32188,1990-11-09,1991,BOS,CHI,100.0,120.0,1504.9476527085305,664.242619831199
55,32189,1990-11-09,1991,DAL,ORL,111.0,99.0,1548.8124540602153,1430.3540931692933
56,32190,1990-11-09,1991,DEN,SEA,129.0,135.0,1431.2975793603628,1555.847003466281
57,32191,1990-11-09,1991,GSW,ATL,143.0,128.0,1521.0330468181442,1529.7335381572525
58,32192,1990-11-09,1991,LAL,SAC,100.0,86.0,1480.849346001598,1440.3023142150987
59,32193,1990-11-09,1991,MIN,CHH,106.0,77.0,1468.6283259769561,1485.9571419550668
60,32194,1990-11-09,1991,POR,DET,113.0,101.0,1599.1751039338499,2327.515736063153
61,32195,1990-11-09,1991,WSB,MIL,100.0,108.0,1457.7834884914446,1562.9572139961083
62,32196,1990-11-10,1991,PHO,DEN,173.0,143.0,1521.6471556460979,1422.8034173814972
