,index,date,season,team1,team2,score1,score2,team1_elo,team2_elo
0,32140,1990-11-02,1991,DEN,GSW,158.0,162.0,651.4718625761432,2348.5281374238566
1,32141,1990-11-02,1991,DET,MIL,115.0,104.0,1509.5313374489263,1490.4686625510737
2,32142,1990-11-02,1991,IND,NJN,100.0,81.0,1509.5313374489263,1490.4686625510737
3,32143,1990-11-02,1991,LAC,SAC,90.0,80.0,1509.5313374489263,1490.4686625510737
4,32144,1990-11-02,1991,ATL,ORL,115.0,111.0,1509.5313374489263,1490.4686625510737
5,32145,1990-11-02,1991,MIN,DAL,98.0,85.0,1509.5313374489263,1490.4686625510737
6,32146,1990-11-02,1991,POR,HOU,90.0,89.0,1509.5313374489263,1490.4686625510737
7,32147,1990-11-02,1991,UTA,PHO,96.0,119.0,1490.4686625510737,1509.5313374489263
8,32148,1990-11-02,1991,MIA,WSB,119.0,95.0,1509.5313374489263,1490.4686625510737
9,32149,1990-11-02,1991,BOS,CLE,125.0,101.0,1509.5313374489263,1490.4686625510737
10,32150,1990-11-02,1991,CHH,NYK,130.0,134.0,1490.4686625510737,1509.5313374489263
11,32151,1990-11-02,1991,CHI,PHI,116.0,124.0,1490.4686625510737,1509.5313374489263
12,32152,1990-11-03,1991,WSB,CHI,103.0,102.0,1500.0023556052242,1480.9379761334997
13,32153,1990-11-03,1991,ATL,IND,121.0,120.0,1519.0572310688544,1499.9934203260261
14,32154,1990-11-03,1991,DAL,DEN,140.0,110.0,1490.6259971851741,652.090743229484
15,32155,1990-11-03,1991,DET,CLE,106.0,97.0,1518.52981487215,1481.4653780336635
16,32156,1990-11-03,1991,MIL,MIN,111.0,93.0,1500.5323575047169,1499.4700458899758
17,32157,1990-11-03,1991,NYK,BOS,103.0,106.0,1499.9956623665457,1519.0577692590273
18,32158,1990-11-03,1991,ORL,CHH,97.0,104.0,1480.9457534654712,1500.0050210834904
19,32159,1990-11-03,1991,PHI,NJN,112.0,110.0,1518.5336235318962,1481.4717836689613
20,32160,1990-11-03,1991,PHO,UTA,101.0,102.0,1499.468965347412,1500.531034652588
21,32161,1990-11-03,1991,SAC,POR,93.0,95.0,1481.4721313865402,1518.5296705831822
22,32162,1990-11-03,1991,SAS,LAL,110.0,99.0,1509.5313374489263,1490.4686625510737
23,32163,1990-11-03,1991,SEA,HOU,118.0,106.0,1509.2696821249363,1481.2108033669494
24,32164,1990-11-04,1991,LAC,GSW,109.0,107.0,1528.7400158083447,2337.295080936806
25,32165,1990-11-06,1991,ORL,CLE,95.0,102.0,1471.2310144033024,1490.790960942005
26,32166,1990-11-06,1991,SAC,ATL,85.0,102.0,1472.787556818587,1527.7354627594816
27,32167,1990-11-06,1991,SEA,DET,100.0,92.0,1519.156087133003,1508.9275518751062
28,32168,1990-11-06,1991,HOU,DEN,145.0,135.0,1481.166234280752,643.6509018614599
29,32169,1990-11-06,1991,CHH,NJN,113.0,105.0,1509.0222952691554,1472.2689639099394
30,32170,1990-11-06,1991,CHI,BOS,108.0,110.0,1472.2852261216558,1527.7167754309326
31,32171,1990-11-06,1991,GSW,LAC,130.0,109.0,2336.6523751141135,1528.531279325176
32,32172,1990-11-06,1991,IND,MIN,98.0,96.0,1509.5101748239356,1489.9483223698833
33,32173,1990-11-06,1991,LAL,POR,123.0,125.0,1481.6235858976988,1527.4592150579495
34,32174,1990-11-06,1991,MIA,MIL,94.0,106.0,1499.8316344005364,1510.3179836289994
35,32175,1990-11-06,1991,NYK,DAL,91.0,96.0,1490.2044203153505,1500.333627208394
36,32176,1990-11-07,1991,PHO,GSW,126.0,119.0,1518.5756731017177,2326.4175802989625
37,32177,1990-11-07,1991,SAS,DEN,161.0,153.0,1509.8495331885658,634.9777876841486
38,32178,1990-11-07,1991,CLE,CHH,100.0,89.0,1500.7390504493528,1499.0773148872127
39,32179,1990-11-07,1991,LAC,DET,83.0,110.0,1518.7599576916814,1519.092753823245
40,32180,1990-11-07,1991,MIN,CHI,91.0,96.0,1479.8181337534959,1482.0125605438702
41,32181,1990-11-07,1991,PHI,DAL,101.0,104.0,1508.872327302515,1510.3790004986852
42,32182,1990-11-08,1991,NYK,WSB,114.0,103.0,1499.8994738311608,1490.1987422145178
43,32183,1990-11-08,1991,HOU,ORL,103.0,99.0,1490.2317619074795,1461.6952019892583
44,32184,1990-11-08,1991,MIL,PHI,141.0,111.0,1519.918760330613,1499.3821339647059
45,32185,1990-11-08,1991,UTA,SAS,103.0,94.0,1510.3290083247878,1500.062722330989
46,32186,1990-11-08,1991,NJN,MIA,114.0,103.0,1482.2780532096242,1489.5342852033762
47,32187,1990-11-09,1991,IND,CLE,122.0,107.0,1518.8989960299282,1491.4515867036039
48,32188,1990-11-09,1991,BOS,CHI,100.0,120.0,1517.2256094834208,1492.7994573633666
49,32189,1990-11-09,1991,DAL,ORL,111.0,99.0,1518.5784781947036,1453.49802021052
50,32190,1990-11-09,1991,DEN,SEA,129.0,135.0,634.9324326542852,1519.4606136416132
51,32191,1990-11-09,1991,GSW,ATL,143.0,128.0,2326.390957367458,1527.8139519979622
52,32192,1990-11-09,1991,LAL,SAC,100.0,86.0,1490.7167342846471,1463.2401653141067
53,32193,1990-11-09,1991,MIN,CHH,106.0,77.0,1489.8868147870078,1489.0174282013068
54,32194,1990-11-09,1991,POR,DET,113.0,101.0,1537.0400663242349,1509.790319590158
55,32195,1990-11-09,1991,WSB,MIL,100.0,108.0,1481.4899834017288,1528.6230324506932
56,32196,1990-11-10,1991,PHO,DEN,173.0,143.0,1518.6793568685257,635.3160511806442
57,32197,1990-11-10,1991,SAC,NYK,88.0,93.0,1454.7351171803932,1508.4275642844175
58,32198,1990-11-10,1991,SAS,HOU,111.0,110.0,1509.324095915941,1480.981734071278
59,32199,1990-11-10,1991,SEA,GSW,100.0,117.0,1519.2576302223536,2325.7752830432237
60,32200,1990-11-10,1991,LAC,ATL,94.0,112.0,1509.4511591282858,1537.0663942537708
61,32201,1990-11-10,1991,MIA,IND,120.0,105.0,1499.8838772501156,1508.5406379137887
62,32202,1990-11-10,1991,CLE,PHI,104.0,88.0,1501.2109174842772,1489.6337721908037
63,32203,1990-11-10,1991,CHI,CHH,105.0,86.0,1502.2379469321188,1479.6009824274304
64,32204,1990-11-10,1991,NJN,BOS,91.0,105.0,1473.731905664926,1525.770058709542
65,32205,1990-11-11,1991,HOU,UTA,110.0,90.0,1491.3234643704338,1499.9786495481717
66,32206,1990-11-11,1991,LAL,NYK,103.0,109.0,1481.6827456209,1517.467848786069
67,32207,1990-11-11,1991,POR,LAC,138.0,107.0,1545.76442265041,1500.6708839293444
68,32208,1990-11-11,1991,MIN,ORL,108.0,81.0,1498.4414611824793,1445.0542701342163
69,32209,1990-11-12,1991,NJN,WSB,92.0,97.0,1464.4306873414298,1490.836099336073
70,32210,1990-11-13,1991,SEA,NYK,110.0,116.0,1509.6576565541632,1527.0368205010523
71,32211,1990-11-13,1991,ATL,CLE,104.0,121.0,1526.5265549969265,1511.7231273660027
72,32212,1990-11-13,1991,CHH,WSB,120.0,105.0,1489.4559034413226,1480.9950896055097
73,32213,1990-11-13,1991,DET,MIA,118.0,93.0,1519.0327570782538,1490.6244638775652
74,32214,1990-11-13,1991,GSW,SAS,128.0,124.0,2325.083032455043,1509.1407862991218
75,32215,1990-11-13,1991,HOU,MIN,90.0,88.0,1501.0577718692325,1488.7149535550027
76,32216,1990-11-13,1991,IND,PHI,100.0,108.0,1498.4817112521425,1499.6944354356667
77,32217,1990-11-13,1991,LAL,PHO,111.0,112.0,1473.1797223637489,1527.1659433342065
78,32218,1990-11-13,1991,MIL,BOS,119.0,91.0,1538.0218801614717,1516.290255323709
79,32219,1990-11-13,1991,ORL,DAL,109.0,103.0,1456.5775125438067,1507.0180542098276
80,32220,1990-11-13,1991,POR,DEN,155.0,129.0,1545.8504548239025,636.4368053258538
81,32221,1990-11-13,1991,UTA,CHI,82.0,84.0,1490.5093891897861,1511.7051704657033
82,32222,1990-11-14,1991,LAC,PHO,108.0,102.0,1510.9295151428223,1516.917707881495
83,32223,1990-11-14,1991,MIA,DAL,105.0,93.0,1500.6052411959286,1497.0363675935084
84,32224,1990-11-14,1991,NJN,MIL,112.0,95.0,1475.9359810502972,1526.5327490790266
85,32225,1990-11-14,1991,PHI,ATL,112.0,104.0,1509.9623954999965,1516.2746206050053
86,32226,1990-11-14,1991,BOS,CHH,135.0,126.0,1525.0997288976023,1480.6572310601314
87,32227,1990-11-14,1991,CLE,IND,113.0,95.0,1520.893463607101,1489.3136974256051
88,32228,1990-11-15,1991,GSW,CHI,103.0,93.0,2325.5590331596786,1511.534378668955
89,32229,1990-11-15,1991,ORL,UTA,102.0,99.0,1467.0243115372068,1480.0429414866628
90,32230,1990-11-15,1991,POR,NYK,141.0,125.0,1554.8758372887319,1518.03129824029
91,32231,1990-11-15,1991,SAC,SAS,93.0,122.0,1446.7425086781686,1517.1905027028045
92,32232,1990-11-15,1991,DEN,MIN,121.0,108.0,646.0557808176578,1469.454539859667
93,32233,1990-11-15,1991,HOU,LAL,103.0,108.0,1490.7646225293024,1483.1762931604276
94,32234,1990-11-16,1991,DAL,LAL,99.0,86.0,1506.1554637961297,1474.0273008435968
95,32235,1990-11-16,1991,NJN,DET,96.0,105.0,1467.352027635328,1527.5775427450071
96,32236,1990-11-16,1991,PHI,WSB,115.0,102.0,1518.7884562805261,1472.0692017585939
97,32237,1990-11-16,1991,PHO,LAC,121.0,110.0,1526.4573773978025,1501.6773304814735
98,32238,1990-11-16,1991,ATL,CHH,109.0,119.0,1505.9177391523335,1490.9796525362856
99,32239,1990-11-16,1991,BOS,UTA,114.0,89.0,1533.6323524030556,1471.5590441257223
100,32240,1990-11-16,1991,CLE,MIL,99.0,94.0,1530.7873958753662,1517.1003825637567
101,32241,1990-11-16,1991,IND,MIA,106.0,80.0,1499.0528957520544,1490.766598768261
102,32242,1990-11-17,1991,GSW,SAC,112.0,111.0,2333.8533223029604,1446.0814174094364
103,32243,1990-11-17,1991,MIL,NJN,111.0,99.0,1525.2678919785035,1459.2062618374405
104,32244,1990-11-17,1991,NYK,PHI,106.0,79.0,1527.7500309871648,1509.228252202295
105,32245,1990-11-17,1991,ORL,IND,96.0,89.0,1477.1291156738168,1488.6349683111073
106,32246,1990-11-17,1991,CHH,CLE,112.0,100.0,1501.6045643625077,1520.1639014616535
107,32247,1990-11-17,1991,DEN,POR,112.0,143.0,646.7551602810742,1555.516884266079
108,32248,1990-11-17,1991,DET,ATL,91.0,83.0,1536.4923904643326,1496.9766452254964
109,32249,1990-11-17,1991,WSB,BOS,90.0,102.0,1464.237766989185,1541.4658573039228
110,32250,1990-11-17,1991,SEA,CHI,95.0,116.0,1500.2702548175723,1521.1196146291484
111,32251,1990-11-17,1991,SAS,PHO,128.0,114.0,1527.1352388743176,1516.6516939565336
112,32252,1990-11-17,1991,HOU,MIA,117.0,100.0,1500.3121836022426,1481.2433795840973
113,32253,1990-11-18,1991,MIN,UTA,94.0,103.0,1460.0330227149407,1481.060302248676
114,32254,1990-11-18,1991,LAC,SEA,78.0,65.0,1511.1681078463746,1490.7774943810919
115,32255,1990-11-18,1991,POR,CHI,125.0,112.0,1564.045285866722,1512.5193622358224
116,32256,1990-11-18,1991,LAL,GSW,115.0,93.0,1492.9305606826229,2323.0668258179335
117,32257,1990-11-19,1991,PHI,CHH,109.0,101.0,1518.642903363048,1492.300890996611
118,32258,1990-11-19,1991,DEN,LAL,105.0,122.0,638.165801409432,1493.0700440728265
119,32259,1990-11-19,1991,MIL,UTA,114.0,104.0,1533.8274111889489,1472.5528332943654
120,32260,1990-11-20,1991,DAL,MIN,91.0,92.0,1495.4050178367233,1470.4123359931614
121,32261,1990-11-20,1991,CHH,ATL,128.0,121.0,1501.9610943839743,1487.287309509431
122,32262,1990-11-20,1991,GSW,ORL,123.0,120.0,2322.9253682961044,1476.7574953754295
123,32263,1990-11-20,1991,MIA,DET,90.0,106.0,1473.0427806813202,1544.8530259392635
124,32264,1990-11-20,1991,NYK,HOU,88.0,115.0,1517.731058558874,1510.607050960498
125,32265,1990-11-20,1991,SEA,NJN,105.0,88.0,1499.341825957208,1450.1600603142908
126,32266,1990-11-20,1991,WSB,SAC,82.0,87.0,1453.8495947369163,1455.6169304631323
127,32267,1990-11-21,1991,PHI,SAC,101.0,99.0,1526.4423843699722,1447.815147763968
128,32268,1990-11-21,1991,PHO,CHI,109.0,107.0,1526.2267424743245,1503.2274255358407
129,32269,1990-11-21,1991,SAS,MIN,114.0,100.0,1535.3636987484201,1462.4723571255304
130,32270,1990-11-21,1991,UTA,ORL,106.0,91.0,1482.2309252763791,1467.1404721382141
131,32271,1990-11-21,1991,BOS,HOU,108.0,95.0,1550.504886993813,1501.918339954394
132,32272,1990-11-21,1991,CLE,MIA,123.0,109.0,1528.5624624544091,1464.8420600109619
133,32273,1990-11-21,1991,IND,DET,100.0,108.0,1480.5482994697938,1552.7696824514417
134,32274,1990-11-21,1991,LAC,NJN,99.0,90.0,1519.129594894023,1442.3928039403436
135,32275,1990-11-21,1991,LAL,DEN,141.0,121.0,1493.2293534208197,640.4503897868562
136,32276,1990-11-21,1991,MIL,ATL,105.0,93.0,1541.9953010295835,1479.0628305067012
137,32277,1990-11-23,1991,LAC,CHI,97.0,105.0,1509.1544967438856,1513.1891353536835
138,32278,1990-11-23,1991,UTA,SEA,97.0,96.0,1492.2600314850783,1489.3426751518089
139,32279,1990-11-23,1991,POR,GSW,143.0,119.0,1584.191802762572,2309.5720816062008
140,32280,1990-11-23,1991,PHO,NJN,114.0,116.0,1514.6314267022644,1453.6274289044907
141,32281,1990-11-23,1991,BOS,SAC,115.0,105.0,1557.7015589230416,1440.6423954272136
142,32282,1990-11-23,1991,CHH,MIA,100.0,116.0,1491.4176492747629,1475.0827413706036
143,32283,1990-11-23,1991,DAL,SAS,104.0,107.0,1486.944902717275,1544.0799329948607
144,32284,1990-11-23,1991,DET,WSB,97.0,88.0,1560.086622060714,1446.6723483672818
145,32285,1990-11-23,1991,IND,HOU,112.0,111.0,1490.503390010642,1491.8103508538047
146,32286,1990-11-23,1991,PHI,CLE,111.0,105.0,1536.2232444058925,1519.2068370531297
147,32287,1990-11-24,1991,ATL,PHI,121.0,124.0,1470.9045481678845,1544.1797587118053
148,32288,1990-11-24,1991,CLE,BOS,102.0,113.0,1510.7155399347885,1566.1112184496073
149,32289,1990-11-24,1991,DAL,UTA,74.0,85.0,1477.5732290828562,1501.5813578631992
150,32290,1990-11-24,1991,DEN,CHI,145.0,151.0,633.2427229447346,1513.4210445172098
151,32291,1990-11-24,1991,GSW,NJN,113.0,117.0,2298.4201381424773,1472.3352215967811
152,32292,1990-11-24,1991,LAL,ORL,115.0,89.0,1501.9017554206403,1457.7496632391803
153,32293,1990-11-24,1991,MIA,CHH,112.0,125.0,1465.774924858677,1500.41711977
154,32294,1990-11-24,1991,NYK,MIL,97.0,107.0,1509.1712984015985,1551.6542754209713
155,32295,1990-11-24,1991,WSB,IND,107.0,105.0,1456.8788568016491,1479.6663171821867
156,32296,1990-11-25,1991,LAC,ORL,119.0,91.0,1517.453835776341,1449.6444115867832
157,32297,1990-11-25,1991,MIN,HOU,91.0,107.0,1453.117426180346,1500.4447266962602
158,32298,1990-11-25,1991,POR,SAS,117.0,103.0,1593.345280512694,1536.0379682503801
159,32299,1990-11-25,1991,DET,SAC,105.0,92.0,1566.9533696574047,1433.8176202537934
160,32300,1990-11-26,1991,BOS,MIA,118.0,101.0,1573.5230091242468,1459.0038145015837
161,32301,1990-11-27,1991,DEN,ORL,124.0,113.0,635.2514337757249,1430.0820780776353
